,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),Average Running Time (Mins),,,,
Jubilee ,Westbound,QUEENSBURY,CANONS PARK,2.23,2.50,2.50,2.41,,,,
Jubilee ,Westbound,CANONS PARK,STANMORE,2.87,3.24,3.09,3.07,,,,
Northern ,Southbound,WARREN STREET,GOODGE STREET,1.07,1.50,1.50,1.36,,,,
Northern ,Southbound,GOODGE STREET,TOTTENHAM COURT ROAD,1.32,1.73,1.50,1.51,,,,
Northern ,Southbound,TOTTENHAM COURT ROAD,LEICESTER SQUARE,0.98,1.00,1.00,0.99,,,,
Northern ,Southbound,LEICESTER SQUARE,CHARING CROSS,1.20,1.99,1.50,1.56,,,,
Northern ,Southbound,CHARING CROSS,EMBANKMENT,0.80,1.00,1.00,0.93,,,,
Northern ,Northbound,EMBANKMENT,CHARING CROSS,0.87,1.26,1.00,1.04,,,,
Northern ,Northbound,CHARING CROSS,LEICESTER SQUARE,1.17,1.50,1.50,1.39,,,,
Northern ,Northbound,LEICESTER SQUARE,TOTTENHAM COURT ROAD,1.03,1.50,1.50,1.34,,,,
Northern ,Northbound,TOTTENHAM COURT ROAD,GOODGE STREET,1.28,1.50,1.50,1.43,,,,
Northern ,Northbound,GOODGE STREET,WARREN STREET,1.07,1.50,1.50,1.36,,,,
Piccadilly ,Eastbound,GLOUCESTER ROAD,SOUTH KENSINGTON,1.28,1.50,1.50,1.43,,,,
Piccadilly ,Eastbound,SOUTH KENSINGTON,KNIGHTSBRIDGE,2.48,3.00,3.00,2.83,,,,
Piccadilly ,Eastbound,KNIGHTSBRIDGE,HYDE PARK CORNER,1.10,1.50,1.50,1.37,,,,
Piccadilly ,Eastbound,HYDE PARK CORNER,GREEN PARK,1.73,2.00,2.02,1.92,,,,
Piccadilly ,Eastbound,GREEN PARK,PICCADILLY CIRCUS,1.10,1.50,1.50,1.37,,,,
Piccadilly ,Eastbound,PICCADILLY CIRCUS,LEICESTER SQUARE,1.17,1.50,1.50,1.39,,,,
Piccadilly ,Eastbound,LEICESTER SQUARE,COVENT GARDEN,0.77,1.00,1.01,0.93,,,,
Piccadilly ,Eastbound,COVENT GARDEN,HOLBORN,1.40,1.50,1.50,1.47,,,,
Piccadilly ,Eastbound,HOLBORN,RUSSELL SQUARE,1.55,2.00,2.00,1.85,,,,
Piccadilly ,Eastbound,RUSSELL SQUARE,KINGS CROSS & ST PANCRAS INTERNATIONAL,1.90,2.47,2.05,2.14,,,,
Piccadilly ,Westbound,KINGS CROSS & ST PANCRAS INTERNATIONAL,RUSSELL SQUARE,1.67,2.00,2.00,1.89,,,,
Piccadilly ,Westbound,RUSSELL SQUARE,HOLBORN,1.37,1.50,1.50,1.46,,,,
Piccadilly ,Westbound,HOLBORN,COVENT GARDEN,1.53,2.00,2.00,1.84,,,,
Piccadilly ,Westbound,COVENT GARDEN,LEICESTER SQUARE,0.77,1.00,1.00,0.92,,,,
Piccadilly ,Westbound,LEICESTER SQUARE,PICCADILLY CIRCUS,1.07,1.50,1.50,1.36,,,,
Piccadilly ,Westbound,PICCADILLY CIRCUS,GREEN PARK,1.18,1.50,1.50,1.39,,,,
Piccadilly ,Westbound,GREEN PARK,HYDE PARK CORNER,1.73,2.48,2.02,2.08,,,,
Piccadilly ,Westbound,HYDE PARK CORNER,KNIGHTSBRIDGE,1.12,1.50,1.50,1.37,,,,
Piccadilly ,Westbound,KNIGHTSBRIDGE,SOUTH KENSINGTON,2.23,2.50,2.50,2.41,,,,
Piccadilly ,Westbound,SOUTH KENSINGTON,GLOUCESTER ROAD,1.37,1.50,1.50,1.46,,,,
Circle ,Inner,EDGWARE ROAD,PADDINGTON (CIRCLE),1.85,2.00,2.00,1.95,,,,
Circle ,Inner,PADDINGTON (CIRCLE),BAYSWATER,1.65,2.00,2.00,1.88,,,,
Circle ,Inner,BAYSWATER,NOTTING HILL GATE,1.47,2.00,2.00,1.82,,,,
Circle ,Inner,NOTTING HILL GATE,HIGH STREET KENSINGTON,1.58,3.57,3.36,2.84,,,,
